Ridge Regression with Cross Validation


0  =>  (389, 14) (389, 1) (44, 14) (44, 1)
Run 2 	 lambda  0.147789188004 CV MSE_train  20.8118474996 CV MSE_test  [ 21.85461765]
Run 2 	 lambda  0.221683782005 CV MSE_train  20.8118826778 CV MSE_test  [ 21.8582579]
Run 2 	 lambda  0.332525673008 CV MSE_train  20.8119612207 CV MSE_test  [ 21.863705]
Run 2 	 lambda  0.498788509512 CV MSE_train  20.8121359248 CV MSE_test  [ 21.87184592]
Run 2 	 lambda  0.748182764268 CV MSE_train  20.8125223717 CV MSE_test  [ 21.88399104]
Run 2 	 lambda  1.1222741464 CV MSE_train  20.8133703052 CV MSE_test  [ 21.90206177]
Run 2 	 lambda  1.6834112196 CV MSE_train  20.8152092785 CV MSE_test  [ 21.92884482]
Run 2 	 lambda  2.5251168294 CV MSE_train  20.8191325789 CV MSE_test  [ 21.96831962]
Run 2 	 lambda  3.78767524411 CV MSE_train  20.8273160264 CV MSE_test  [ 22.02605274]
Run 2 	 lambda  5.68151286616 CV MSE_train  20.8438855766 CV MSE_test  [ 22.10964852]
Run 2 	 lambda  8.52226929924 CV MSE_train  20.8762116987 CV MSE_test  [ 22.22931204]
Run 2 	 lambda  10 CV MSE_train  20.8957862105 CV MSE_test  [ 22.28929069]
Run 2 	 lambda  0.0 CV MSE_train  20.8118191493 CV MSE_test  [ 21.84731579]


3  =>  (390, 14) (390, 1) (43, 14) (43, 1)
Run 3 	 lambda  0.0001 CV MSE_train  20.5184311801 CV MSE_test  [ 0.]
Run 3 	 lambda  0.00015 CV MSE_train  20.5184311801 CV MSE_test  [ 0.]
Run 3 	 lambda  0.000225 CV MSE_train  20.5184311801 CV MSE_test  [ 0.]
Run 3 	 lambda  0.0003375 CV MSE_train  20.5184311803 CV MSE_test  [ 0.]
Run 3 	 lambda  0.00050625 CV MSE_train  20.5184311805 CV MSE_test  [ 0.]
Run 3 	 lambda  0.000759375 CV MSE_train  20.518431181 CV MSE_test  [ 0.]
Run 3 	 lambda  0.0011390625 CV MSE_train  20.5184311822 CV MSE_test  [ 0.]
Run 3 	 lambda  0.00170859375 CV MSE_train  20.5184311848 CV MSE_test  [ 0.]
Run 3 	 lambda  0.002562890625 CV MSE_train  20.5184311907 CV MSE_test  [ 0.]
Run 3 	 lambda  0.0038443359375 CV MSE_train  20.518431204 CV MSE_test  [ 0.]
Run 3 	 lambda  0.00576650390625 CV MSE_train  20.5184312339 CV MSE_test  [ 0.]
Run 3 	 lambda  0.00864975585938 CV MSE_train  20.5184313013 CV MSE_test  [ 0.]
Run 3 	 lambda  0.0129746337891 CV MSE_train  20.5184314527 CV MSE_test  [ 0.]
Run 3 	 lambda  0.0194619506836 CV MSE_train  20.5184317933 CV MSE_test  [ 0.]
Run 3 	 lambda  0.0291929260254 CV MSE_train  20.518432559 CV MSE_test  [ 0.]
Run 3 	 lambda  0.0437893890381 CV MSE_train  20.5184342797 CV MSE_test  [ 0.]
Run 3 	 lambda  0.0656840835571 CV MSE_train  20.5184381447 CV MSE_test  [ 0.]
Run 3 	 lambda  0.0985261253357 CV MSE_train  20.5184468179 CV MSE_test  [ 0.]
Run 3 	 lambda  0.147789188004 CV MSE_train  20.5184662559 CV MSE_test  [ 0.]
Run 3 	 lambda  0.221683782005 CV MSE_train  20.5185097347 CV MSE_test  [ 0.]
Run 3 	 lambda  0.332525673008 CV MSE_train  20.5186067062 CV MSE_test  [ 0.]
Run 3 	 lambda  0.498788509512 CV MSE_train  20.5188220554 CV MSE_test  [ 0.]
Run 3 	 lambda  0.748182764268 CV MSE_train  20.5192972753 CV MSE_test  [ 0.]
Run 3 	 lambda  1.1222741464 CV MSE_train  20.5203363224 CV MSE_test  [ 0.]
Run 3 	 lambda  1.6834112196 CV MSE_train  20.5225781454 CV MSE_test  [ 0.]
Run 3 	 lambda  2.5251168294 CV MSE_train  20.5273251169 CV MSE_test  [ 0.]
Run 3 	 lambda  3.78767524411 CV MSE_train  20.5371212718 CV MSE_test  [ 0.]
Run 3 	 lambda  5.68151286616 CV MSE_train  20.5566646319 CV MSE_test  [ 0.]
Run 3 	 lambda  8.52226929924 CV MSE_train  20.5940533291 CV MSE_test  [ 0.]
Run 3 	 lambda  10 CV MSE_train  20.6163518592 CV MSE_test  [ 0.]
Run 3 	 lambda  0.0 CV MSE_train  20.5184311801 CV MSE_test  [ 0.]


4  =>  (390, 14) (390, 1) (43, 14) (43, 1)
Run 4 	 lambda  0.0001 CV MSE_train  20.7801164405 CV MSE_test  [ 24.16271739]
Run 4 	 lambda  0.00015 CV MSE_train  20.7801164406 CV MSE_test  [ 24.16271592]
Run 4 	 lambda  0.000225 CV MSE_train  20.7801164406 CV MSE_test  [ 24.16271371]
Run 4 	 lambda  0.0003375 CV MSE_train  20.7801164407 CV MSE_test  [ 24.16271041]
Run 4 	 lambda  0.00050625 CV MSE_train  20.7801164409 CV MSE_test  [ 24.16270545]
